nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język hiszpański;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język włoski;ogółem;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język włoski;dziewczęta;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język włoski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język polski;ogółem;relacja [%];2019;64;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język polski;dziewczęta;relacja [%];2019;70;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język polski;chłopcy;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Matematyka;ogółem;relacja [%];2019;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Matematyka;dziewczęta;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Matematyka;chłopcy;relacja [%];2019;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język angielski;ogółem;relacja [%];2019;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język angielski;dziewczęta;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język angielski;chłopcy;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język niemiecki;ogółem;relacja [%];2019;49;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język niemiecki;dziewczęta;relacja [%];2019;52;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język niemiecki;chłopcy;relacja [%];2019;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język rosyjski;ogółem;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język rosyjski;dziewczęta;relacja [%];2019;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język rosyjski;chłopcy;relacja [%];2019;35;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język francuski;ogółem;relacja [%];2019;100;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język francuski;dziewczęta;relacja [%];2019;100;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Lubelskie;Język francuski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
