ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski_liczba zdających;język polski_wynik średni (%);język polski_odchylenie standardowe (%);język polski_mediana (%);język polski_modalna (%);matematyka_liczba zdających;matematyka_wynik średni (%);matematyka_odchylenie standardowe (%);matematyka_mediana (%);matematyka_modalna (%);język angielski_liczba zdających;język angielski_wynik średni (%);język angielski_odchylenie standardowe (%);język angielski_mediana (%);język angielski_modalna (%);język francuski_liczba zdających;język francuski_wynik średni (%);język francuski_odchylenie standardowe (%);język francuski_mediana (%);język francuski_modalna (%);język hiszpański_liczba zdających;język hiszpański_wynik średni (%);język hiszpański_odchylenie standardowe (%);język hiszpański_mediana (%);język hiszpański_modalna (%);język niemiecki_liczba zdających;język niemiecki_wynik średni (%);język niemiecki_odchylenie standardowe (%);język niemiecki_mediana (%);język niemiecki_modalna (%);język rosyjski_liczba zdających;język rosyjski_wynik średni (%);język rosyjski_odchylenie standardowe (%);język rosyjski_mediana (%);język rosyjski_modalna (%);język włoski_liczba zdających;język włoski_wynik średni (%);język włoski_odchylenie standardowe (%);język włoski_mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;402022;52526;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;30;11.0;60.0;20.0;62.0;51.0;11.0;40.0;26.0;36.0;20.0;11.0;62.0;25.0;67.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;402022;54316;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;234;10.0;61.0;12.0;63.0;64.0;10.0;42.0;23.0;32.0;28.0;10.0;51.0;30.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;402022;55097;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;33;18.0;44.0;15.0;48.0;49.0;18.0;27.0;19.0;24.0;24.0;18.0;41.0;30.0;34.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;402011;6246;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;ul. Matejki 5;87.0;64.0;15.0;67.0;73.0;87.0;48.0;25.0;48.0;56.0;84.0;65.0;26.0;67.0;24.0;;;;;;;;;;;3.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;402011;3213;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;ul. Kolejowa 62;69.0;59.0;15.0;60.0;56.0;69.0;49.0;24.0;44.0;44.0;69.0;69.0;26.0;76.0;96.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;402011;3205;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;ul. 3 Maja 4;55.0;52.0;17.0;56.0;49.0;55.0;36.0;20.0;28.0;28.0;55.0;50.0;29.0;38.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;402011;3219;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 700 - LECIA BRODNICY W BRODNICY;Brodnica;ul. Nowa 34;72.0;64.0;12.0;64.0;62.0;72.0;48.0;22.0;44.0;36.0;72.0;69.0;26.0;78.0;96.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;402011;196422;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3 IM. WŁADYSŁAWA JAGIEŁŁY W BRODNICY;Brodnica;ul. Wiejska 6;22.0;56.0;18.0;60.0;60.0;22.0;37.0;20.0;34.0;16.0;21.0;47.0;27.0;38.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;402032;80004;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KRÓLEWNY ANNY WAZÓWNY W GORCZENICY;Gorczenica;87;14.0;60.0;13.0;59.0;76.0;14.0;33.0;17.0;32.0;20.0;16.0;44.0;22.0;37.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;402032;80005;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;34;23.0;59.0;13.0;62.0;53.0;23.0;42.0;31.0;28.0;20.0;23.0;67.0;26.0;67.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;
