ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9371;dla młodzieży;Nie;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;25;12;45;22;47;20;13;32;20;24;16;12;36;19;30;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;43872;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;11;21;51;22;58;69;21;30;21;24;8;21;48;31;33;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;79205;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Płowęż;16;10;49;16;49;40;10;47;23;42;20;9;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Miasto;0402074;43804;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;ul. Słoneczna 2;54;58;17;60;51;54;35;22;30;12;54;55;29;51;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34799;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;46;12;49;15;48;60;12;29;15;24;36;12;39;19;32;29;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34797;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;80;24;51;20;56;18;24;47;23;46;64;23;55;32;47;13;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;58437;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;23;15;47;13;49;53;15;30;14;28;20;11;65;26;73;49;;;;;;;;;;;4;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;56375;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W ZBICZNIE;Zbiczno;150;32;49;23;57;58;31;44;23;32;20;32;50;27;49;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14353;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;51;35;50;18;53;33;35;37;21;32;32;35;46;25;40;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14356;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;145A;10;51;17;48;40;10;46;20;46;28;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;110007;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;ul. Wierzbowa 2;94;65;17;69;71;94;58;25;58;68;93;76;24;84;100;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;104808;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MARIANA REJEWSKIEGO W BIAŁYCH BŁOTACH;Białe Błota;ul. Centralna 27;143;62;16;64;67;143;53;26;52;20;143;75;24;84;100;;;;;;;;;;;2;;;;;;;;;;;;;;
