ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;"rodzaj placówki";czy publiczna;Identyfikator szkoły;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;51808;dla młodzieży;Tak;040202-08P09;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;54;11;57,45454545;17,24878724;60;44;11;40;27,4491265;24;24;11;44,09090909;20,50478678;44;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52420;dla młodzieży;Tak;040202-09P0Y;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;7a;9;57,66666667;12,17465491;60;;9;48,88888889;22,29321992;52;16;9;55,55555556;28,19027063;64;80;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52526;dla młodzieży;Tak;040202-10P0C;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;30;10;62,3;15,64640534;56,5;44;10;53,6;23,6101673;50;48;10;69,4;29,43874997;82,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;54316;dla młodzieży;Tak;040202-11P01;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;234;11;55,27272727;16,09681453;60;69;11;38,18181818;21,05325793;28;28;11;57,90909091;27,10737754;55;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;55097;dla młodzieży;Tak;040202-12PNJ;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;33;19;50,10526316;18,06681965;49;49;19;41,05263158;26,272807;36;16;19;39,10526316;24,50541237;31;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;6246;dla młodzieży;Tak;040201-04P2O;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;ul. Matejki 5;25;54,56;18,69134559;60;60;25;47,04;25,70677732;44;36;23;65,13043478;29,52420429;73;96;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3213;dla młodzieży;Tak;040201-36P09;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;ul. Kolejowa 62;31;56,4516129;21,75796289;62;62;31;46,4516129;28,31486411;44;12;32;65,34375;27,94034871;69;91;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3205;dla młodzieży;Tak;040201-38P0N;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;ul. 3 Maja 4;22;45,31818182;16,52927531;41;33;22;31,63636364;25,29560769;28;28;22;42,63636364;29,80016085;33;11;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3219;dla młodzieży;Tak;040201-39P0C;SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 700 - LECIA BRODNICY W BRODNICY;Brodnica;ul. Nowa 34;33;61,93939394;12,03263087;62;58;33;51,27272727;28,6666026;40;32;35;69,2;27,25414778;71;100;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;196422;dla młodzieży;Tak;040201-3DPNX;SZKOŁA PODSTAWOWA NR 3 IM. WŁADYSŁAWA JAGIEŁŁY W BRODNICY;Brodnica;ul. Wiejska 6;24;54,625;20,02251337;56,5;18;24;41,66666667;27,05344505;32;16;24;60,29166667;28,66542512;61;98;;;;;;;;;;;1;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;264143;dla dorosłych;Tak;040201-3EPNM;SZKOŁA PODSTAWOWA DLA DOROSŁYCH W BRODNICY;Brodnica;ul. Mazurska 28;11;11,81818182;5,219163671;13;13;11;14,90909091;5,680181582;16;12;;;;;;;;;;;;;;;;;;;;;11;18,45454545;2,871921636;18;18;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80004;dla młodzieży;Tak;040203-03P0B;SZKOŁA PODSTAWOWA IM. KRÓLEWNY ANNY WAZÓWNY W GORCZENICY;Gorczenica;87;15;54,86666667;16,46761131;51;47;15;50,13333333;25,95859952;44;20;15;57,73333333;31,44617977;47;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80005;dla młodzieży;Tak;040203-03P16;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;34;15;59,33333333;22,52011447;67;69;15;51,46666667;26,96631644;48;84;15;71,33333333;23,41414577;80;38;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80008;dla młodzieży;Tak;040203-35P0M;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;59;11;69,27272727;15,22014759;76;76;11;66,90909091;25,4753162;72;100;11;70,81818182;29,39331458;91;31;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19747;dla młodzieży;Tak;040204-12P0S;SZKOŁA PODSTAWOWA;Wielkie Leźno;1;9;70,22222222;8,573574099;69;;9;72,88888889;20,63677647;80;80;9;66,77777778;18,42569328;65;65;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19750;dla młodzieży;Tak;040204-13P0H;SZKOŁA PODSTAWOWA;Jajkowo;11;6;51,16666667;12,7464592;54,5;;6;48,66666667;23,48521994;50;;6;61,66666667;39,07542564;74,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19748;dla młodzieży;Tak;040204-34P0G;SZKOŁA PODSTAWOWA;Brzozie;51B;17;50,94117647;17,94590102;49;44;17;43,05882353;25,83310823;36;36;17;48,23529412;25,40386587;31;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Miasto;0402054;16480;dla młodzieży;Tak;040205-01P0Z;SZKOŁA PODSTAWOWA;Górzno;ul. Fryderyka Chopina 1;8;41,25;12,54741009;44,5;49;8;41;20,5669638;42;;8;42,875;25,44817037;27,5;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9233;dla młodzieży;Nie;040205-24P0C;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;26;7;60,85714286;11,77683648;58;;7;37,71428571;27,6183908;24;;6;34,83333333;16,98447003;27;;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9371;dla młodzieży;Nie;040205-25P01;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;25;2;;;;;2;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;43872;dla młodzieży;Tak;040207-27P0H;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;11;17;59,76470588;22,91038658;69;71;17;46,58823529;24,30942403;44;84;17;46,64705882;25,46725967;38;38;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Obszar wiejski;0402075;79205;dla młodzieży;Tak;040207-28P06;SZKOŁA PODSTAWOWA;Płowęż;16;6;51;11,19523708;53;53;6;29,33333333;18,71422513;24;12;6;40;27,13546265;30;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Jabłonowo Pomorskie;Miasto;0402074;43804;dla młodzieży;Tak;040207-29PNO;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;ul. Słoneczna 2;31;53,09677419;20,15000975;56;40;31;26,96774194;19,96041869;20;12;31;43,87096774;30,02122038;29;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34799;dla młodzieży;Tak;040208-15P0Z;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;46;8;70,625;10,5349122;70;;8;68;23,40939982;72;;8;68,625;30,38477209;86;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Osiek;Gmina wiejska;0402082;34797;dla młodzieży;Tak;040208-33P0V;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;80;14;54,71428571;16,62798232;52;38;14;39,71428571;25,00122446;30;28;14;51,71428571;29,89846764;44,5;75;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;58437;dla młodzieży;Tak;040210-20P0E;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;23;9;61;23,80476143;64;38;9;64;29,51459149;72;92;9;73,77777778;28,09024258;89;89;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Zbiczno;Gmina wiejska;0402102;56375;dla młodzieży;Tak;040210-37P0W;SZKOŁA PODSTAWOWA IM. NOBLISTÓW POLSKICH W ZBICZNIE;Zbiczno;ul. Szosa Brodnicka 77;10;42,1;19,84162292;34,5;62;10;40,4;26,85963514;28;28;10;43,3;29,73903159;28;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14353;dla młodzieży;Tak;040209-06P0K;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;51;18;52,66666667;15,95827894;57;67;18;25,11111111;15,3655057;20;12;18;40,5;26,87057457;29;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Świedziebnia;Gmina wiejska;0402092;14356;dla młodzieży;Tak;040209-17P0W;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;145A;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;110007;dla młodzieży;Tak;040301-04P16;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;ul. Wierzbowa 2;53;67,83018868;15,14674864;69;58;53;61,81132075;25,78946443;56;48;53;72,66037736;25,86973419;80;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;104808;dla młodzieży;Tak;040301-07P0E;SZKOŁA PODSTAWOWA IM. MARIANA REJEWSKIEGO W BIAŁYCH BŁOTACH;Białe Błota;ul. Centralna 27;78;63,33333333;16,67384461;64;76;78;51,07692308;27,24192152;48;24;78;75,56410256;26,56563702;87;98;;;;;;;;;;;1;;;;;4;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;104764;dla młodzieży;Tak;040301-27P0O;SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W PRZYŁĘKACH;Przyłęki;ul. Zabytkowa 5;13;69,30769231;14,10610678;64;58;13;63,07692308;22,41723766;68;56;13;83,23076923;19,14782111;91;69;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Białe Błota;Gmina wiejska;0403012;128617;dla młodzieży;Nie;040301-28PN6;"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""4 PORY ROKU"" SZKOŁA TWÓRCZA I JĘZYKÓW OBCYCH";Ciele;ul. Osiedle 76;13;69,84615385;16,67262221;73;60;13;54,46153846;23,40484955;56;20;13;89,61538462;10,19455708;95;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoski;Dobrcz;Gmina wiejska;0403032;83738;dla młodzieży;Tak;040303-02P0Z;SZKOŁA PODSTAWOWA W KOZIELCU;Kozielec;24;6;62,16666667;7,882822394;64,5;67;6;72,66666667;18,82079228;80;88;6;61,66666667;21,15550887;58;;;;;;;;;;;;;;;;;;;;;;;;;;
